manufacturer,model,max_thrust_N,thrust_rating_condition,engine_mass_kg,mass_includes,diameter_mm,length_mm,max_rpm,idle_rpm,pressure_ratio,mass_flow_kgps,EGT_max_C,fuel_consumption_at_max,fuel_type,compressor_type,turbine_type,source_url,notes
JetCat,P160-RXi-B,160,"@123,000 rpm (published as '36 lbs@123,000 rpm (160N)')",1.53,engine incl. starter (integrated brushless pump/filter per JetCat description),112,285,123000,33000,,,,,Jet A1 / kerosene + ~5% synthetic turbine oil,,,https://www.hobbyprosdepot.com/product-p/71115-0005.htm,"RETAILER fallback (jetcat.de P160 page returned HTTP 500). Length 285 mm incl. starter. idle_rpm = lower end of published range 33,000-123,000. Retailer lists package with ECU V10.0, Mini-GSU, 9.9V LiFe battery (not included in 1530 g)."
JetCat,P220-RXi,220,@ max rpm (JetCat data at ISA per P220-PRO datasheet),1.93,"engine with integrated brushless pump, valves, fuel filter, generator (per JetCat 2017 catalog text); battery not included",116.8,307,117000,35000,3.9,0.45,750,725 ml/min,kerosene/diesel,,,https://www.jetcat.de/en/productdetails/produkte/jetcat/produkte/RC%20ENGINES/Engines/p220-rxi,"Idle thrust 9 N; idle consumption 130 ml/min; SFC 0.158 kg/Nh; exhaust velocity 1760 km/h; EGT range 480-750 C. P220-PRO datasheet V1.2 01/2023 (https://www.jetcat.de/jetcat/anleitungen/DataSheet-P220-PRO-Versions-01-2023.pdf) gives 1850 g short nozzle / 1920 g (L=215 nozzle) / ~2160 g (L=241 nozzle), diameter 117 mm, EGT 390-720 C, fuel Jet A1/JP10/diesel; says ideally suited for models up to 25 kg takeoff mass."
JetCat,P300-PRO(-GL),300,@ max rpm; catalog data at STP 15 C / 1013 mbar +/-3%,2.73,"engine with integrated ECU, pump, valves (PRO series integrated design per JetCat 2017 catalog)",132,381,105000,35000,3.55,0.5,750,980 ml/min,kerosene,radial (centrifugal),axial,https://www.jetcat.de/en/productdetails/produkte/jetcat/produkte/Eingestellte%20Produkte%20Zubehoer/p300%20pro%20-%20Gl,"Manufacturer page for P300 PRO-GL (listed under discontinued products; main P300-PRO page returned HTTP 500). Idle thrust 14 N; idle 179 ml/min; SFC 0.157 kg/Nh; exhaust 2160 km/h; EGT range 480-750 C. Retailer turbinenshop.com lists 106,000 rpm max and 380.5 mm length 'with starter' (manufacturer values kept). Compressor/turbine type from AIAA 2024-1375 search snippet (centrifugal compressor, annular combustor, axial turbine): https://arc.aiaa.org/doi/10.2514/6.2024-1375"
JetCat,P400-PRO-LN,425,@ max rpm,4.01,engine with integrated ECU/pump (PRO series); LN = no generator,148.4,390,98000,30000,3.8,0.67,750,1392 ml/min,Jet-A1 kerosene,,,https://www.jetcat.de/en/productdetails/produkte/jetcat/produkte/Professionell/p400%20pro,"Idle thrust 14 N; idle 200 ml/min; SFC 0.157 kg/Nh; exhaust velocity 2122 km/h; exhaust power 116.4 kW; EGT range 480-750 C. Variants -GL (~85 W generator) and -GH (~900 W). JetCat 2017 catalog (https://www.jetcat.de/jetcat/Kataloge/JetCat%20ENGINES.pdf) lists older P400-PRO at 397 N, 3650 g, SFC 0.158."
JetCat,P550-PRO,550,All data at ISA conditions (thrust range 28-550 N),4.9,"engine with integrated ECU, fuel pump, 2 solenoids, post fuel filter, spark ignition, EGT probe",175,419,83000,26000,,0.93,750,1650 ml/min (range 300-1650 ml/min),Jet A1/Diesel + 3-5% JetCat oil,,,https://www.jetcat.de/jetcat/anleitungen/P550-PRO-Datasheet.pdf,"Datasheet V1.1 02/2023. SFC 0.144 kg/Nh; thrust power 163 kW; EGT 480-750 C. Length 419 mm overall from P550-PRO-GL drawing (incl. 108 mm nozzle section; nozzle exit dia 108 mm). idle_rpm = lower end of rpm range 26,000-83,000. JetCat 2017 catalog gives diameter 178.6 mm and pressure ratio 3.8 (datasheet value 175 mm kept; PR left blank as datasheet omits it)."
JetCat,P1000-PRO,1100,All data at ISA conditions (thrust range 45-1100 N),11.0,"engine with integrated ECU, dual fuel pumps, 3 solenoids, filter, spark ignition, alternator starter, EGT and T0 probe",234,,61500,19000,,1.8,750,3200 ml/min (range 550-3200 ml/min),Jet A1/Diesel + 3-5% JetCat oil,,,https://www.jetcat.de/jetcat/2025/250730/DataSheet-P1000-PRO-Versions%20V1.2.pdf,"Datasheet V1.2 07/2025. Weight published as '~11000g'. Diameter '234 +/-10' mm on drawing. SFC 0.136 kg/Nh; EGT 480-750 C. Length not given in datasheet text or drawings. idle_rpm = lower end of rpm range 19,000-61,500. Versions -GH, -GH-I3 (ducted), -C1 (pylon)."
KingTech,K-210G4+,205.9,'21 kg @ max RPM (46.3 lbs at max RPM)',1.74,not stated,112.6,280,120000,33000,,,650,590 g/min,"Diesel, Jet A1, Kerosene",,,https://pacificrcjets.com/products/kingtech-k210g4,"RETAILER fallback (kingtechturbines.com pages return no text). Thrust converted 21 kgf x 9.80665 = 205.9 N. idle_rpm = lower end of 'up to 33,000-120,000RPM'."
KingTech,K-320G4+,313.8,'Max Thrust: 32 kg (71 lb)' (condition not stated),2.9,not stated,132.5,335,100000,30000,,,700,870 g/min,"Diesel, Jet A1, Kerosene",,,https://pacificrcjets.com/products/kingtech-k320g4,"RETAILER fallback. Thrust converted 32 kgf x 9.80665 = 313.8 N. idle_rpm = lower end of 'up to 30,000-100,000RPM'."
KingTech,K-450G4+,441.3,'Max Thrust: 45 kg (99 lb)' (condition not stated),4.0,not stated,152.6,374,90000,25000,,,760,1100 g/min,"Diesel, Jet A1, Kerosene",,,https://pacificrcjets.com/products/kingtech-k450g4,"RETAILER fallback; same values on https://www.final-modellbau.de/en/turbines/kingtech-turbines/kingtech-k450g4.html. Thrust converted 45 kgf x 9.80665 = 441.3 N. idle_rpm = lower end of 'up to 25,000-90,000RPM'. KingTech lists it as 'Industrial Purchases Only'. No KingTech model above 450 found."
AMT Netherlands,Olympus HP (E-start),230,"at S.T.P. (15 C, 1013 mbar), all data +/-2%",2.9,"engine only (system airborne weight 3845 g incl. ECU, pump, battery, thermosensor, valves, mounting straps)",130,374,108500,,3.5,0.45,750,640 g/min,kerosene (direct kerosene start; propane start on request),,,https://www.amtjets.com/pdf/Olympus_HP_specification.pdf,"Spec sheet dated January 2019. EGT is 'max continuous'. Idle thrust 13 N. SFC 46.4 g/(kN*s). Optional 110,000 rpm gives +10 N. Max operating altitude 8000 m; max operating speed 1000 km/h."
